236,1,5,0,2,0,0,0,2,0,0,0,0,0,0,0
2,286,0,2,0,2,0,0,0,3,0,0,0,0,0,0
0,0,162,0,0,0,3,0,0,0,1,0,0,0,0,0
0,1,0,197,0,0,0,1,0,0,0,2,0,0,0,0
0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,38,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,49,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,29,1,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,105,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
