1.944,0.3786,1.3797,0.593
1.2487,0.6415,1.1038,0.6641
0.8773,0.7533,1.0359,0.7008
0.5692,0.8454,1.1787,0.6781
0.3615,0.8979,1.309,0.6641
0.2216,0.9337,1.6409,0.6281
0.124,0.9652,1.418,0.6992
0.0391,0.9928,1.4313,0.707
0.0213,0.9961,1.4929,0.7047
0.0097,0.9989,1.4992,0.7031
0.006,0.9996,1.5516,0.7094
0.0046,0.9999,1.5605,0.7094
0.0031,1.0,1.6045,0.707
0.0026,0.9999,1.5773,0.7117
0.002,0.9999,1.6029,0.7094
0.0018,1.0,1.6442,0.707
0.0014,1.0,1.6754,0.7055
0.0011,1.0,1.6937,0.7102
0.0012,1.0,1.7149,0.707
0.0011,1.0,1.7553,0.7094
0.0047,0.9991,2.1131,0.643
0.1431,0.9535,1.8275,0.6758
0.1093,0.9667,1.9737,0.6742
0.0195,0.9942,1.9735,0.6898
0.0043,0.9989,2.07,0.6906
0.0028,0.9993,2.1297,0.6914
0.002,0.9999,2.1691,0.6984
0.0007626,1.0,2.1922,0.7031
0.002,0.9996,2.2045,0.6914
0.00069165,1.0,2.2868,0.6945
