6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,41,0,2,0,0,1,1,8,8,2,2,0,1,1,2
0,1,10,0,0,1,0,0,0,0,0,0,0,1,0,0
0,4,2,54,0,0,0,1,6,2,5,5,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,13,2,12,1,0,1,3,129,23,19,6,3,4,4,2
10,14,7,8,0,2,2,1,41,209,12,18,2,15,5,10
3,8,6,4,0,0,1,1,14,4,108,18,3,1,6,2
3,10,6,17,2,1,0,0,14,16,11,139,7,3,2,6
0,1,0,1,2,0,0,0,1,1,0,0,8,1,0,0
0,1,0,0,0,2,0,0,0,0,0,1,0,11,0,0
0,1,0,1,0,1,0,1,0,1,1,1,0,0,9,1
0,1,1,1,0,0,1,4,2,0,3,1,0,2,2,26
