7,6,4,11,0,0,0,3,16,22,14,14,3,3,4,3
4,26,9,20,0,3,2,2,45,57,26,31,3,6,4,5
0,4,1,2,0,0,0,1,6,5,4,6,0,2,2,0
3,11,4,18,0,1,1,3,29,37,19,22,2,6,5,11
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0
0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,1
1,1,0,0,0,0,0,0,0,4,1,2,0,0,0,0
7,22,5,20,4,1,0,1,66,55,37,41,6,11,6,13
3,16,3,10,1,1,1,2,26,55,19,28,5,8,6,6
2,4,3,9,0,0,1,0,14,9,27,25,3,2,0,2
0,3,2,9,0,0,1,1,11,14,12,22,2,1,3,5
0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
